# slot_index,mcs,tbs_bytes,needs_retx,retx_count,harq_id
567,20,1281,0,0,1
568,20,1281,0,0,2
569,20,1281,0,0,1
570,20,1281,0,0,2
571,20,1281,0,0,1
572,20,1281,0,0,2
573,15,912,0,0,1
574,6,111,0,0,3
575,18,1057,0,0,1
576,6,13,0,0,3
577,18,1057,0,0,2
578,18,1057,0,0,1
579,11,560,0,0,2
580,11,560,0,0,1
581,13,736,0,0,2
582,13,736,0,0,1
583,15,912,0,0,2
584,15,912,0,0,1
585,15,912,0,0,2
586,15,912,0,0,1
587,13,736,0,0,2
588,13,736,0,0,1
589,13,736,0,0,2
590,13,736,0,0,1
591,15,912,0,0,2
592,15,912,0,0,1
593,13,736,0,0,2
594,13,736,0,0,1
595,15,912,0,0,2
596,15,912,0,0,1
597,13,736,0,0,2
598,13,736,0,0,1
599,20,1281,0,0,2
600,20,1281,0,0,1
601,20,1281,0,0,6
602,20,1281,0,0,2
603,20,1281,0,0,6
604,20,1281,0,0,2
605,20,1281,0,0,6
606,20,1281,0,0,2
607,20,1281,0,0,6
608,20,1281,0,0,2
609,20,1281,0,0,6
610,20,1281,0,0,2
611,20,1281,0,0,6
612,20,1281,0,0,2
613,20,1281,0,0,6
614,20,1281,0,0,2
615,20,1281,0,0,6
616,20,1281,0,0,2
617,20,1281,0,0,6
618,20,1281,0,0,2
619,20,1281,0,0,6
620,20,1281,0,0,2
621,13,736,0,0,6
622,13,736,0,0,2
623,15,912,0,0,6
624,15,912,0,0,2
625,15,912,0,0,6
626,15,912,0,0,2
627,13,736,0,0,6
628,13,736,0,0,2
629,18,1057,0,0,6
630,18,1057,0,0,2
631,18,1057,0,0,6
632,18,1057,0,0,2
633,18,1057,0,0,6
634,18,1057,0,0,2
635,18,1057,0,0,6
636,18,1057,0,0,2
637,15,912,0,0,6
638,15,912,0,0,2
639,13,736,0,0,6
640,13,736,0,0,2
641,20,1281,0,0,6
642,20,1281,0,0,2
643,15,912,0,0,6
644,15,912,0,0,2
645,15,912,0,0,6
646,15,912,0,0,2
647,18,1057,0,0,6
648,18,1057,0,0,2
649,18,1057,0,0,6
650,18,1057,0,0,2
651,13,736,0,0,6
652,13,736,0,0,2
653,18,1057,0,0,6
654,18,1057,0,0,2
655,20,1281,0,0,6
656,20,1281,0,0,2
657,20,1281,0,0,6
658,20,1281,0,0,2
659,16,976,0,0,6
660,16,976,0,0,2
661,20,1281,0,0,6
662,20,1281,0,0,2
663,13,30,0,0,1
664,13,30,0,0,3
665,4,233,0,0,8
666,13,372,0,0,3
667,16,40,0,0,3
668,4,233,0,0,4
669,4,233,0,0,2
670,4,233,0,0,4
671,18,88,0,0,3
672,2,145,0,0,4
673,16,80,0,0,3
674,16,40,0,0,1
675,2,145,0,0,4
676,13,123,0,0,3
677,16,80,0,0,1
678,16,40,0,0,3
679,18,88,0,0,1
680,0,92,0,0,0
681,0,92,0,0,4
682,0,92,0,0,0
683,0,92,0,0,4
684,0,92,0,0,0
685,0,92,0,0,4
686,0,92,0,0,0
687,2,145,0,0,4
688,2,145,0,0,0
689,0,92,0,0,4
690,0,92,0,0,0
691,0,92,0,0,0
692,0,92,0,0,2
693,0,92,0,0,4
694,0,92,0,0,0
695,0,92,0,0,2
696,0,92,0,0,0
697,0,92,0,0,2
698,0,92,0,0,0
699,2,145,0,0,2
700,2,145,0,0,0
701,4,233,0,0,2
702,4,233,0,0,0
703,6,333,0,0,2
704,6,333,0,0,0
705,2,145,0,0,2
706,2,145,0,0,0
707,4,233,0,0,2
708,4,233,0,0,0
709,2,145,0,0,2
710,2,145,0,0,0
711,2,145,0,0,2
712,2,145,0,0,0
713,0,92,0,0,2
714,0,92,0,0,0
715,2,145,0,0,4
716,2,145,0,0,2
717,2,145,0,0,0
718,2,145,0,0,2
719,8,453,0,0,0
720,8,453,0,0,2
721,8,453,0,0,8
722,8,453,0,0,0
723,0,92,0,0,8
724,0,92,0,0,0
725,4,233,0,0,8
726,4,233,0,0,0
727,6,333,0,0,8
728,6,333,0,0,2
729,2,145,0,0,0
730,2,145,0,0,2
731,2,145,0,0,0
732,2,145,0,0,2
733,2,145,0,0,0
734,2,145,0,0,2
735,2,145,0,0,0
736,2,145,0,0,2
737,2,145,0,0,0
738,2,145,0,0,2
739,2,145,0,0,0
740,2,145,0,0,2
741,2,145,0,0,0
742,2,145,0,0,2
743,2,145,0,0,0
744,2,145,0,0,2
745,2,145,0,0,0
746,2,145,0,0,2
747,2,145,0,0,0
748,2,145,0,0,2
749,0,92,0,0,0
750,0,92,0,0,2
751,4,233,0,0,0
752,4,233,0,0,2
753,4,233,0,0,0
754,4,233,0,0,2
755,4,233,0,0,0
756,4,233,0,0,2
757,2,145,0,0,0
758,2,145,0,0,2
759,2,145,0,0,0
760,2,145,0,0,2
761,2,145,0,0,0
762,2,145,0,0,2
763,2,145,0,0,0
764,2,145,0,0,2
765,2,145,0,0,0
766,2,145,0,0,2
767,4,233,0,0,8
768,4,233,0,0,0
769,4,233,0,0,8
770,4,233,0,0,8
771,0,92,0,0,4
772,0,92,0,0,8
773,0,92,0,0,0
774,0,92,0,0,4
775,0,92,0,0,0
776,0,92,0,0,4
777,0,92,0,0,0
778,0,92,0,0,2
779,2,145,0,0,8
780,2,145,0,0,2
781,4,233,0,0,8
782,13,30,0,0,3
783,8,453,0,0,2
784,8,453,0,0,4
785,8,453,0,0,8
786,8,453,0,0,3
787,0,92,0,0,2
788,0,92,0,0,3
789,4,233,0,0,4
790,4,233,0,0,8
791,4,233,0,0,2
792,4,233,0,0,3
793,4,233,1,1,3
794,4,233,0,0,8
795,2,145,0,0,8
796,2,145,0,0,4
797,2,145,0,0,2
798,2,145,0,0,4
799,2,145,0,0,2
800,2,145,0,0,4
801,2,145,0,0,2
802,2,145,0,0,4
803,0,92,0,0,2
804,0,92,0,0,4
805,6,333,0,0,2
806,6,333,0,0,4
807,4,233,0,0,2
808,4,233,0,0,4
809,2,145,0,0,2
810,2,145,0,0,4
811,4,233,0,0,2
812,4,233,0,0,4
813,4,233,0,0,2
814,4,233,0,0,4
815,2,145,0,0,2
816,2,145,0,0,4
817,0,92,0,0,2
818,0,92,0,0,4
819,6,333,0,0,2
820,6,333,0,0,4
821,8,453,0,0,2
822,8,453,0,0,4
823,8,453,0,0,2
824,8,453,0,0,4
825,4,233,0,0,2
826,4,233,0,0,4
827,4,233,0,0,2
828,4,233,0,0,4
829,6,333,0,0,2
830,6,333,0,0,4
831,4,233,0,0,2
832,4,233,0,0,4
833,4,233,0,0,2
834,4,233,0,0,4
835,2,145,0,0,2
836,2,145,0,0,4
837,4,233,0,0,2
838,4,233,0,0,4
839,2,145,0,0,2
840,2,145,0,0,4
841,0,92,0,0,2
842,0,92,0,0,4
843,2,145,0,0,2
844,2,145,0,0,4
845,2,145,0,0,2
846,2,145,0,0,4
847,0,92,0,0,2
848,0,92,0,0,4
849,4,233,0,0,2
850,4,233,0,0,4
851,4,233,0,0,2
852,4,233,0,0,7
853,4,233,0,0,8
854,4,233,0,0,2
855,2,145,0,0,8
856,2,145,0,0,2
857,4,233,0,0,8
858,4,233,0,0,2
859,4,233,0,0,8
860,4,233,0,0,2
861,2,145,0,0,8
862,2,145,0,0,2
863,2,145,0,0,8
864,2,145,0,0,2
865,2,145,0,0,8
866,2,145,0,0,2
867,2,145,0,0,8
868,2,145,0,0,2
869,0,92,0,0,8
870,0,92,0,0,2
871,2,145,0,0,8
872,2,145,0,0,2
873,2,145,0,0,8
874,2,145,0,0,2
875,2,145,0,0,8
876,2,145,0,0,2
877,0,92,0,0,8
878,0,92,0,0,2
879,0,92,0,0,8
880,0,92,0,0,2
881,2,145,0,0,8
